CRS Code,Station Name
STAINES,Staines
RAYNSPK,Raynes Park
PCHESTR,Portchester
WBYFLET,West Byfleet
NETLEY,Netley
TWCKNHM,Twickenham
WDON,South West
WLNDNJW,#N/A
LIPHOOK,Liphook
PUTNEY,Putney
HAVANT,Havant
HERSHAM,Hersham
DRNSFDR,#N/A
TOTTON,Totton
MBRKCLJ,#N/A
NINELMJ,#N/A
LISS,Liss
HMWTHY,Hamworthy
NEWMLDN,New Malden
ESHER,Esher
LRDGFD,London Road Guildford
HRSLEY,Horsley
BLIEURD,Beaulieu Road
HOLTONH,Holton Heath
WITLEY,Witley
NMILTON,New Milton
SURBITN,Surbiton
WRPLSDN,Worplesdon
BRLANDS,Berrylands
HOOK,Hook
WEYBDGE,Weybridge
HCRTJN,#N/A
WONT,Walton-On-Thames
WNCHSTR,Winchester
ERLFLD,Earlsfield
ELGH,Eastleigh
WRTINGJ,#N/A
CHRISTC,Christchurch
CBHMSDA,Cobham And Stoke D'Abernon
BURSLDN,Bursledon
SWAY,Sway
PSTONE,Parkstone
BRANKSM,Branksome
MLFORD,Milford
SHOLING,Sholing
WNCFILD,Winchfield
WALRSAL,#N/A
WOOL,Wool
POOLE,Poole
EGHAM,Egham
BNTFORD,Brentford
NTHMJN,#N/A
PTRSFLD,Petersfield
FELTHMJ,#N/A
EFNGHMJ,Effingham Junction
SWYTHLN,Swaythling
GDLMING,Godalming
STMGTS,St Margarets
CLPHMJM,Clapham Jn
WHTTONJ,#N/A
NSHEEN,North Sheen
BSNGSTK,Basingstoke
SHAWFD,Shawford
RWLNDSC,Rowlands Castle
WOKINGJ,#N/A
CHTSEY,Chertsey
GUILDFD,Guildford
BKNHRST,Brockenhurst
BDHMPTN,Bedhampton
POKSDWN,Pokesdown
WOLSTON,Woolston
FLEET,Fleet
FAREHAM,Fareham
CLANDON,Clandon
FRBRMN,Farnborough
HOUNSLW,Hounslow
BOMO,Bournemouth
RICHMND,Richmond
CLYGATE,Claygate
PRBRITJ,#N/A
SOTPKWY,Southampton Airport
ADLESTJ,#N/A
FRNCMB,Farncombe
BITERNE,Bitterne
OXSHOTT,Oxshott
WOKING,Woking
MRTLKE,Mortlake
STDENYS,St Denys
REDBDGE,Redbridge Hants
FRNBRCE,#N/A
HNCHLYW,Hinchley Wood
MORETON,Moreton
TWCKNMJ,#N/A
FRLNGTJ,#N/A
FELTHAM,Feltham
DRCHJN,#N/A
WDWTOWN,Wandsworth Town
DRCHS,Dorchester South
HMBLE,Hamble
BRKWOOD,Brookwood
LYNDHRD,Ashurst New Forest
UPWEY,Upwey
QTRDBAT,Queenstown Road
SWNWICK,Swanwick
COSHAM,Cosham
BARNES,Barnes
HASLEMR,Haslemere
MCHLDVR,Micheldever
WEYMTH,Weymouth
CLPHMJW,Clapham Jn
BYFLANH,Byfleet & New Haw
HINTONA,Hinton Admiral
VRGNWTR,Virginia Water
WARHAM,Wareham
ADLESTN,Addlestone
SHALFDJ,#N/A
ASFDMSX,Ashford
COSHAMJ,#N/A
SOTON,Southampton Central
